"Story","Title","Result","Date","Stability","Duration (s)"
"Dummy rest APICURD test","This will Read an employee by ID","FAILURE","2022-06-06T20:29:43.877+01:00[Europe/London]","0.0","2.63"
"Dummy rest APICURD test","This will Delete an employee by ID","FAILURE","2022-06-06T20:29:52.190+01:00[Europe/London]","0.0","2.69"
